主要诊断编码,主要诊断名称,其他诊断编码,其他诊断名称,并发症评级,病案数
J15.600x002,革兰阴性细菌性肺炎,E77.801,低蛋白血症,合并症/并发症,3
J15.600x002,革兰阴性细菌性肺炎,E87.102,低钠血症,合并症/并发症,3
J15.600x002,革兰阴性细菌性肺炎,E87.600,低钾血症,合并症/并发症,3
J15.600x002,革兰阴性细菌性肺炎,I11.002,高血压心脏病伴心力衰竭,合并症/并发症,3
J15.600x002,革兰阴性细菌性肺炎,I50.906,心肌损害,严重合并症/并发症,19
J15.600x002,革兰阴性细菌性肺炎,J44.000,慢性阻塞性肺病伴有急性下呼吸道感染,严重合并症/并发症,3
J15.600x002,革兰阴性细菌性肺炎,J94.804,胸腔积液,合并症/并发症,5
J15.600x002,革兰阴性细菌性肺炎,J96.000,急性呼吸衰竭,严重合并症/并发症,4
J15.600x002,革兰阴性细菌性肺炎,J96.900x001,呼吸衰竭,严重合并症/并发症,9
J15.600x002,革兰阴性细菌性肺炎,K92.210,消化道出血,合并症/并发症,4
J15.600x002,革兰阴性细菌性肺炎,Q21.100,房间隔缺损,严重合并症/并发症,3
J15.600x002,革兰阴性细菌性肺炎,Q21.101,中央型房间隔缺损(卵圆孔型),严重合并症/并发症,3
J15.600x002,革兰阴性细菌性肺炎,R57.200,脓毒性休克,严重合并症/并发症,3
J15.600x005,鲍曼不动杆菌性肺炎,E77.801,低蛋白血症,合并症/并发症,11
J15.600x005,鲍曼不动杆菌性肺炎,E87.102,低钠血症,合并症/并发症,4
J15.600x005,鲍曼不动杆菌性肺炎,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,3
J15.600x005,鲍曼不动杆菌性肺炎,J94.804,胸腔积液,合并症/并发症,5
J15.600x005,鲍曼不动杆菌性肺炎,J96.000,急性呼吸衰竭,严重合并症/并发症,4
J15.600x005,鲍曼不动杆菌性肺炎,J96.100,慢性呼吸衰竭,严重合并症/并发症,3
J15.600x005,鲍曼不动杆菌性肺炎,K76.800x006,肝功能不全,合并症/并发症,3
J15.600x005,鲍曼不动杆菌性肺炎,K92.210,消化道出血,合并症/并发症,5
J15.600x005,鲍曼不动杆菌性肺炎,M81.900,骨质疏松,合并症/并发症,4
J15.600x005,鲍曼不动杆菌性肺炎,N28.001,肾梗死,合并症/并发症,3
J15.600x005,鲍曼不动杆菌性肺炎,R57.200,脓毒性休克,严重合并症/并发症,5
J15.602,阴沟杆菌性肺炎,E77.801,低蛋白血症,合并症/并发症,4
J15.700,肺炎支原体性肺炎,A41.900,脓毒症,严重合并症/并发症,54
J15.700,肺炎支原体性肺炎,B00.901,EB病毒感染,合并症/并发症,3
J15.700,肺炎支原体性肺炎,B25.900x001,巨细胞病毒感染,合并症/并发症,4
J15.700,肺炎支原体性肺炎,B37.001,口腔念珠菌感染,合并症/并发症,7
J15.700,肺炎支原体性肺炎,B37.101+J17.2*,念珠菌性肺炎,严重合并症/并发症,4
J15.700,肺炎支原体性肺炎,B96.000,,合并症/并发症,13
J15.700,肺炎支原体性肺炎,D50.900,缺铁性贫血,合并症/并发症,7
J15.700,肺炎支原体性肺炎,D70.x00,粒细胞缺乏,合并症/并发症,4
J15.700,肺炎支原体性肺炎,D70.x04,白细胞减少,合并症/并发症,12
J15.700,肺炎支原体性肺炎,D70.x05,中性粒细胞减少症,合并症/并发症,8
J15.700,肺炎支原体性肺炎,E55.900,维生素D缺乏病,合并症/并发症,4
J15.700,肺炎支原体性肺炎,E77.801,低蛋白血症,合并症/并发症,4
J15.700,肺炎支原体性肺炎,E87.102,低钠血症,合并症/并发症,3
J15.700,肺炎支原体性肺炎,E87.600,低钾血症,合并症/并发症,5
J15.700,肺炎支原体性肺炎,H10.900,结膜炎,合并症/并发症,5
J15.700,肺炎支原体性肺炎,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,4
J15.700,肺炎支原体性肺炎,I50.906,心肌损害,严重合并症/并发症,47
J15.700,肺炎支原体性肺炎,J15.800x001,革兰阳性细菌性肺炎,合并症/并发症,10
J15.700,肺炎支原体性肺炎,J94.804,胸腔积液,合并症/并发症,14
J15.700,肺炎支原体性肺炎,J96.900x001,呼吸衰竭,严重合并症/并发症,4
J15.700,肺炎支原体性肺炎,K72.900x001,肝功能衰竭,严重合并症/并发症,8
J15.700,肺炎支原体性肺炎,K76.800x006,肝功能不全,合并症/并发症,3
J15.700,肺炎支原体性肺炎,N34.200x003,尿道溃疡,合并症/并发症,11
J15.700,肺炎支原体性肺炎,Q25.000,动脉导管未闭,严重合并症/并发症,3
J15.700,肺炎支原体性肺炎,R21.x02,皮疹,合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,A16.500x004,结核性胸膜炎,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,A41.900,脓毒症,严重合并症/并发症,22
J15.800x001,革兰阳性细菌性肺炎,B02.900x001,带状疱疹,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,B25.900x001,巨细胞病毒感染,合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,B37.001,口腔念珠菌感染,合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,B49.x14+J99.8*,肺真菌感染,严重合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,D61.101,化疗后骨髓抑制,严重合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,D69.600,血小板减少,合并症/并发症,7
J15.800x001,革兰阳性细菌性肺炎,D70.x04,白细胞减少,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,E04.101,甲状腺结节,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,E07.806,甲状腺病态综合征,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,E11.501+I79.2*,2型糖尿病性周围血管病变,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,E77.801,低蛋白血症,合并症/并发症,31
J15.800x001,革兰阳性细菌性肺炎,E87.102,低钠血症,合并症/并发症,4
J15.800x001,革兰阳性细菌性肺炎,E87.600,低钾血症,合并症/并发症,19
J15.800x001,革兰阳性细菌性肺炎,E87.801,电解质代谢紊乱,合并症/并发症,6
J15.800x001,革兰阳性细菌性肺炎,F09.x03,器质性精神障碍,合并症/并发症,4
J15.800x001,革兰阳性细菌性肺炎,G20.x00,帕金森病,合并症/并发症,7
J15.800x001,革兰阳性细菌性肺炎,G20.x03,帕金森综合征,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,G30.900,阿尔茨海默病,严重合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,I08.103,二尖瓣及三尖瓣关闭不全,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,I11.002,高血压心脏病伴心力衰竭,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,I12.000x001,高血压性肾衰竭,严重合并症/并发症,10
J15.800x001,革兰阳性细菌性肺炎,I25.500,缺血性心肌病,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,I50.900,心力衰竭,严重合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,I50.900x002,心功能不全,严重合并症/并发症,13
J15.800x001,革兰阳性细菌性肺炎,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,12
J15.800x001,革兰阳性细菌性肺炎,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,7
J15.800x001,革兰阳性细菌性肺炎,I50.906,心肌损害,严重合并症/并发症,18
J15.800x001,革兰阳性细菌性肺炎,I69.300,脑梗死后遗症,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,I80.303,下肢静脉血栓形成,合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,J15.600x002,革兰阴性细菌性肺炎,合并症/并发症,6
J15.800x001,革兰阳性细菌性肺炎,J44.000,慢性阻塞性肺病伴有急性下呼吸道感染,严重合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,J47.x00,支气管扩张(症),合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,J60.x00,煤炭工肺尘埃沉着病,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,J84.101,肺间质纤维化,合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,J94.804,胸腔积液,合并症/并发症,11
J15.800x001,革兰阳性细菌性肺炎,J96.000,急性呼吸衰竭,严重合并症/并发症,7
J15.800x001,革兰阳性细菌性肺炎,J96.900x001,呼吸衰竭,严重合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,J96.900x002,I型呼吸衰竭,严重合并症/并发症,8
J15.800x001,革兰阳性细菌性肺炎,J96.900x003,Ⅱ型呼吸衰竭,严重合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,J98.101,肺不张,合并症/并发症,4
J15.800x001,革兰阳性细菌性肺炎,K72.900x001,肝功能衰竭,严重合并症/并发症,12
J15.800x001,革兰阳性细菌性肺炎,K76.800x006,肝功能不全,合并症/并发症,10
J15.800x001,革兰阳性细菌性肺炎,K83.800x012,胆汁反流,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,K92.210,消化道出血,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,M81.900,骨质疏松,合并症/并发症,5
J15.800x001,革兰阳性细菌性肺炎,M95.401,后天性胸廓畸形,合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,N17.900,急性肾衰竭,严重合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,N18.904,慢性肾功能不全,合并症/并发症,4
J15.800x001,革兰阳性细菌性肺炎,N19.x03,肾功能不全,严重合并症/并发症,4
J15.800x001,革兰阳性细菌性肺炎,N34.200x003,尿道溃疡,合并症/并发症,4
J15.800x001,革兰阳性细菌性肺炎,Q21.101,中央型房间隔缺损(卵圆孔型),严重合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,Q25.000,动脉导管未闭,严重合并症/并发症,3
J15.800x001,革兰阳性细菌性肺炎,R57.200,脓毒性休克,严重合并症/并发症,6
J15.800x001,革兰阳性细菌性肺炎,R79.800x003,低血氧症,合并症/并发症,6
J15.900,细菌性肺炎,A41.900,脓毒症,严重合并症/并发症,3
J15.900,细菌性肺炎,A49.902,革兰阴性杆菌感染,合并症/并发症,3
J15.900,细菌性肺炎,B49.x14+J99.8*,肺真菌感染,严重合并症/并发症,5
J15.900,细菌性肺炎,E41.x01,重度营养不良伴消瘦,合并症/并发症,3
J15.900,细菌性肺炎,E77.801,低蛋白血症,合并症/并发症,11
J15.900,细菌性肺炎,E87.102,低钠血症,合并症/并发症,3
J15.900,细菌性肺炎,E87.303,呼吸性碱中毒,合并症/并发症,3
J15.900,细菌性肺炎,E87.600,低钾血症,合并症/并发症,23
J15.900,细菌性肺炎,E87.801,电解质代谢紊乱,合并症/并发症,10
J15.900,细菌性肺炎,G31.101,老年性脑萎缩,合并症/并发症,4
J15.900,细菌性肺炎,I11.002,高血压心脏病伴心力衰竭,合并症/并发症,9
J15.900,细菌性肺炎,I25.200,,合并症/并发症,3
J15.900,细菌性肺炎,I25.600x001,隐匿性冠状动脉粥样硬化性心脏病,合并症/并发症,3
J15.900,细菌性肺炎,I25.901,冠状动脉性心脏病,合并症/并发症,4
J15.900,细菌性肺炎,I27.900,肺源性心脏病,严重合并症/并发症,5
J15.900,细菌性肺炎,I27.900x002,慢性肺源性心脏病,严重合并症/并发症,4
J15.900,细菌性肺炎,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,6
J15.900,细菌性肺炎,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,10
J15.900,细菌性肺炎,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,3
J15.900,细菌性肺炎,I51.402,老年性心脏病,合并症/并发症,4
J15.900,细菌性肺炎,I63.200,入脑前动脉的闭塞或狭窄引起的脑梗死,严重合并症/并发症,3
J15.900,细菌性肺炎,I69.300,脑梗死后遗症,合并症/并发症,3
J15.900,细菌性肺炎,J44.000,慢性阻塞性肺病伴有急性下呼吸道感染,严重合并症/并发症,17
J15.900,细菌性肺炎,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,9
J15.900,细菌性肺炎,J44.801,慢性支气管炎伴肺气肿,合并症/并发症,3
J15.900,细菌性肺炎,J44.900,慢性阻塞性肺病,合并症/并发症,12
J15.900,细菌性肺炎,J84.101,肺间质纤维化,合并症/并发症,3
J15.900,细菌性肺炎,J94.804,胸腔积液,合并症/并发症,7
J15.900,细菌性肺炎,J96.900x001,呼吸衰竭,严重合并症/并发症,6
J15.900,细菌性肺炎,J96.900x002,I型呼吸衰竭,严重合并症/并发症,7
J15.900,细菌性肺炎,K76.800x006,肝功能不全,合并症/并发症,3
J15.900,细菌性肺炎,M81.900,骨质疏松,合并症/并发症,3
J15.900,细菌性肺炎,N34.200x003,尿道溃疡,合并症/并发症,4
J15.900,细菌性肺炎,R57.200,脓毒性休克,严重合并症/并发症,3
J15.900,细菌性肺炎,Z95.501,,合并症/并发症,3
J15.901,细菌性支气管肺炎,B37.000,念珠菌性口炎,合并症/并发症,5
J15.901,细菌性支气管肺炎,Q21.101,中央型房间隔缺损(卵圆孔型),严重合并症/并发症,3
J15.902,社区获得性肺炎，非重症,A15.200x001,肺结核(组织学证实),合并症/并发症,3
J15.902,社区获得性肺炎，非重症,A16.000x001,肺结核(细菌学和组织学检查为阴性),合并症/并发症,11
J15.902,社区获得性肺炎，非重症,A16.010,肺结核，痰培养(-),合并症/并发症,5
J15.902,社区获得性肺炎，非重症,A16.500x001,结核性干性胸膜炎,合并症/并发症,19
J15.902,社区获得性肺炎，非重症,A16.500x004,结核性胸膜炎,合并症/并发症,13
J15.902,社区获得性肺炎，非重症,A41.900,脓毒症,严重合并症/并发症,71
J15.902,社区获得性肺炎，非重症,A53.000x001,隐性梅毒,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,B00.101,唇单纯疱疹,严重合并症/并发症,11
J15.902,社区获得性肺炎，非重症,B00.902,单纯疱疹,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,B02.202+G53.0*,带状疱疹性神经痛,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,B02.900x001,带状疱疹,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,B49.x14+J99.8*,肺真菌感染,严重合并症/并发症,15
J15.902,社区获得性肺炎，非重症,C34.101,肺上叶恶性肿瘤,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,C34.301,肺下叶恶性肿瘤,合并症/并发症,10
J15.902,社区获得性肺炎，非重症,C34.900x001,肺恶性肿瘤,合并症/并发症,16
J15.902,社区获得性肺炎，非重症,C50.801,乳腺恶性肿瘤，上部,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,C61.x00,前列腺恶性肿瘤,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,C78.000,肺部继发性恶性肿瘤,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,C78.200,胸膜继发性恶性肿瘤,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,C78.700,肝部和肝内胆管继发性恶性肿瘤,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,C79.500x001,骨继发恶性肿瘤,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,C79.506,躯干骨继发恶性肿瘤,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,C79.900x001,广泛转移性恶性肿瘤,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,C90.000,多发性骨髓瘤,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,D47.300,特发性(出血性)血小板增多症,合并症/并发症,5
J15.902,社区获得性肺炎，非重症,D50.900,缺铁性贫血,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,D61.903,全血细胞减少,严重合并症/并发症,3
J15.902,社区获得性肺炎，非重症,D68.900x003,凝血功能异常,严重合并症/并发症,3
J15.902,社区获得性肺炎，非重症,D68.902,凝血障碍,严重合并症/并发症,6
J15.902,社区获得性肺炎，非重症,D69.600,血小板减少,合并症/并发症,24
J15.902,社区获得性肺炎，非重症,D70.x04,白细胞减少,合并症/并发症,46
J15.902,社区获得性肺炎，非重症,D70.x05,中性粒细胞减少症,合并症/并发症,5
J15.902,社区获得性肺炎，非重症,D72.100,嗜酸性粒细胞增多,合并症/并发症,5
J15.902,社区获得性肺炎，非重症,D74.900,高铁血红蛋白血症,合并症/并发症,5
J15.902,社区获得性肺炎，非重症,D86.900,结节病,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,E03.801,继发性甲状腺功能减退症,合并症/并发症,8
J15.902,社区获得性肺炎，非重症,E03.802,原发性甲状腺功能减退症,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,E04.101,甲状腺结节,合并症/并发症,48
J15.902,社区获得性肺炎，非重症,E07.804,低T3综合征,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,E11.200x011+N08.3*,2型糖尿病性前期肾病,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,E11.201+N08.3*,2型糖尿病性肾病,合并症/并发症,14
J15.902,社区获得性肺炎，非重症,E11.301+H36.0*,2型糖尿病性视网膜病变,合并症/并发症,16
J15.902,社区获得性肺炎，非重症,E11.401+G63.2*,2型糖尿病性周围神经病,合并症/并发症,36
J15.902,社区获得性肺炎，非重症,E11.501+I79.2*,2型糖尿病性周围血管病变,合并症/并发症,26
J15.902,社区获得性肺炎，非重症,E11.503,2型糖尿病足病,合并症/并发症,6
J15.902,社区获得性肺炎，非重症,E11.700x011,2型糖尿病性多发性微血管并发症,合并症/并发症,16
J15.902,社区获得性肺炎，非重症,E16.200,低血糖,合并症/并发症,5
J15.902,社区获得性肺炎，非重症,E41.x01,重度营养不良伴消瘦,合并症/并发症,6
J15.902,社区获得性肺炎，非重症,E46.x00x002,低蛋白性营养不良,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,E71.300,脂肪酸代谢紊乱,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,E77.801,低蛋白血症,合并症/并发症,216
J15.902,社区获得性肺炎，非重症,E83.304,低磷血症,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,E83.503,低钙血症,合并症/并发症,14
J15.902,社区获得性肺炎，非重症,E87.001,高钠血症,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,E87.102,低钠血症,合并症/并发症,59
J15.902,社区获得性肺炎，非重症,E87.201,代谢性酸中毒,合并症/并发症,12
J15.902,社区获得性肺炎，非重症,E87.301,代谢性碱中毒,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,E87.303,呼吸性碱中毒,合并症/并发症,16
J15.902,社区获得性肺炎，非重症,E87.500,高钾血症,合并症/并发症,8
J15.902,社区获得性肺炎，非重症,E87.600,低钾血症,合并症/并发症,346
J15.902,社区获得性肺炎，非重症,E87.600x002,低钾性抽搐,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,E87.800x004,低钾钠氯综合征,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,E87.801,电解质代谢紊乱,合并症/并发症,91
J15.902,社区获得性肺炎，非重症,E87.802,高氯血症,合并症/并发症,8
J15.902,社区获得性肺炎，非重症,E87.803,低氯血症,合并症/并发症,46
J15.902,社区获得性肺炎，非重症,F01.900,血管性痴呆,严重合并症/并发症,4
J15.902,社区获得性肺炎，非重症,F03.x01,老年性痴呆,严重合并症/并发症,16
J15.902,社区获得性肺炎，非重症,F06.700,轻度认知障碍,严重合并症/并发症,4
J15.902,社区获得性肺炎，非重症,F09.x03,器质性精神障碍,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,F32.901,抑郁状态,合并症/并发症,6
J15.902,社区获得性肺炎，非重症,F41.101,焦虑状态,合并症/并发症,6
J15.902,社区获得性肺炎，非重症,F41.201,焦虑性抑郁症,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,F50.900,进食障碍,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,G20.x00,帕金森病,合并症/并发症,12
J15.902,社区获得性肺炎，非重症,G20.x03,帕金森综合征,合并症/并发症,18
J15.902,社区获得性肺炎，非重症,G30.900,阿尔茨海默病,严重合并症/并发症,10
J15.902,社区获得性肺炎，非重症,G31.101,老年性脑萎缩,合并症/并发症,17
J15.902,社区获得性肺炎，非重症,G31.902,脑萎缩,合并症/并发症,69
J15.902,社区获得性肺炎，非重症,G31.903,小脑萎缩,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,G37.801,炎性脱髓鞘性假瘤综合征,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,G37.802,脱髓鞘性白质脑病,合并症/并发症,26
J15.902,社区获得性肺炎，非重症,G58.001,肋间神经痛,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,G81.900,偏瘫,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,G91.802,硬脑膜下积液,合并症/并发症,7
J15.902,社区获得性肺炎，非重症,H10.900,结膜炎,合并症/并发症,8
J15.902,社区获得性肺炎，非重症,H11.300,结膜出血,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,H90.300,双侧感音神经性听觉丧失,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,I08.103,二尖瓣及三尖瓣关闭不全,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I08.303,二尖瓣主动脉瓣及三尖瓣关闭不全,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,I09.900,风湿性心脏病,合并症/并发症,13
J15.902,社区获得性肺炎，非重症,I11.001,高血压性心力衰竭,合并症/并发症,19
J15.902,社区获得性肺炎，非重症,I11.002,高血压心脏病伴心力衰竭,合并症/并发症,80
J15.902,社区获得性肺炎，非重症,I11.901,高血压性心脏病,合并症/并发症,90
J15.902,社区获得性肺炎，非重症,I12.000x001,高血压性肾衰竭,严重合并症/并发症,9
J15.902,社区获得性肺炎，非重症,I20.900,心绞痛,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I21.401,急性非ST段抬高型心肌梗死,严重合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I25.200,,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I25.203,,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,I25.500,缺血性心肌病,合并症/并发症,28
J15.902,社区获得性肺炎，非重症,I25.600x001,隐匿性冠状动脉粥样硬化性心脏病,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,I25.900,慢性缺血性心脏病,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I25.901,冠状动脉性心脏病,合并症/并发症,132
J15.902,社区获得性肺炎，非重症,I27.200x012,肺动脉高压,严重合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I27.200x021,中度肺动脉高压,严重合并症/并发症,4
J15.902,社区获得性肺炎，非重症,I27.801,艾森门格综合征,严重合并症/并发症,9
J15.902,社区获得性肺炎，非重症,I27.900,肺源性心脏病,严重合并症/并发症,109
J15.902,社区获得性肺炎，非重症,I27.900x002,慢性肺源性心脏病,严重合并症/并发症,9
J15.902,社区获得性肺炎，非重症,I31.300,心包积液(非炎性),合并症/并发症,30
J15.902,社区获得性肺炎，非重症,I35.804,退行性主动脉瓣疾患,合并症/并发症,8
J15.902,社区获得性肺炎，非重症,I40.001,病毒性心肌炎,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I42.000x001,家族性扩张性心肌病,合并症/并发症,35
J15.902,社区获得性肺炎，非重症,I42.001,扩张型心肌病（充血型心肌病）,合并症/并发症,10
J15.902,社区获得性肺炎，非重症,I47.200,室性心动过速,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,I47.900,阵发性心动过速,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I48.000,阵发性心房颤动,合并症/并发症,28
J15.902,社区获得性肺炎，非重症,I48.100,持续性心房颤动,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I50.002,全心衰竭,严重合并症/并发症,7
J15.902,社区获得性肺炎，非重症,I50.101,急性左心衰竭,严重合并症/并发症,5
J15.902,社区获得性肺炎，非重症,I50.105,慢性左心功能不全,严重合并症/并发症,13
J15.902,社区获得性肺炎，非重症,I50.900,心力衰竭,严重合并症/并发症,38
J15.902,社区获得性肺炎，非重症,I50.900x002,心功能不全,严重合并症/并发症,35
J15.902,社区获得性肺炎，非重症,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,111
J15.902,社区获得性肺炎，非重症,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,221
J15.902,社区获得性肺炎，非重症,I50.900x009,心功能Ⅱ--Ⅲ级(NYHA分级),严重合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,86
J15.902,社区获得性肺炎，非重症,I50.906,心肌损害,严重合并症/并发症,8
J15.902,社区获得性肺炎，非重症,I50.907,急性心力衰竭,严重合并症/并发症,8
J15.902,社区获得性肺炎，非重症,I50.908,慢性心力衰竭,严重合并症/并发症,86
J15.902,社区获得性肺炎，非重症,I51.402,老年性心脏病,合并症/并发症,31
J15.902,社区获得性肺炎，非重症,I63.100,入脑前动脉栓塞引起的脑梗死,严重合并症/并发症,12
J15.902,社区获得性肺炎，非重症,I63.200,入脑前动脉的闭塞或狭窄引起的脑梗死,严重合并症/并发症,17
J15.902,社区获得性肺炎，非重症,I63.302,血栓性偏瘫,严重合并症/并发症,4
J15.902,社区获得性肺炎，非重症,I64.x01,脑血管意外,合并症/并发症,6
J15.902,社区获得性肺炎，非重症,I69.100x001,脑出血后遗症,合并症/并发症,8
J15.902,社区获得性肺炎，非重症,I69.300,脑梗死后遗症,合并症/并发症,100
J15.902,社区获得性肺炎，非重症,I69.802,脑血管病后遗症,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,I70.203,下肢动脉粥样硬化,合并症/并发症,27
J15.902,社区获得性肺炎，非重症,I70.204,下肢动脉硬化闭塞症,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,I70.900x004,动脉粥样硬化,合并症/并发症,9
J15.902,社区获得性肺炎，非重症,I71.400x002,腹主动脉瘤,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,I80.303,下肢静脉血栓形成,合并症/并发症,15
J15.902,社区获得性肺炎，非重症,J01.000,急性上颌窦炎,合并症/并发症,5
J15.902,社区获得性肺炎，非重症,J11.100x001,未知病毒的流感性感冒,合并症/并发症,5
J15.902,社区获得性肺炎，非重症,J32.000,慢性上颌窦炎,合并症/并发症,9
J15.902,社区获得性肺炎，非重症,J44.000,慢性阻塞性肺病伴有急性下呼吸道感染,严重合并症/并发症,23
J15.902,社区获得性肺炎，非重症,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,227
J15.902,社区获得性肺炎，非重症,J44.800x001,闭塞性细支气管炎,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,J44.801,慢性支气管炎伴肺气肿,合并症/并发症,47
J15.902,社区获得性肺炎，非重症,J44.900,慢性阻塞性肺病,合并症/并发症,214
J15.902,社区获得性肺炎，非重症,J45.004,过敏性鼻炎伴哮喘,合并症/并发症,3
J15.902,社区获得性肺炎，非重症,J45.005,咳嗽变异性哮喘,合并症/并发症,13
J15.902,社区获得性肺炎，非重症,J47.x00,支气管扩张(症),合并症/并发症,74
J15.902,社区获得性肺炎，非重症,J47.x01,支气管扩张伴咯血,合并症/并发症,15
J15.902,社区获得性肺炎，非重症,J47.x03,支气管扩张伴感染,合并症/并发症,18
J15.902,社区获得性肺炎，非重症,J60.x00,煤炭工肺尘埃沉着病,合并症/并发症,10
J15.902,社区获得性肺炎，非重症,J63.800,无机粉尘引起的肺尘埃沉着病，其他特指的,合并症/并发症,8
J15.902,社区获得性肺炎，非重症,J63.803,炭黑尘肺,合并症/并发症,4
J15.902,社区获得性肺炎，非重症,J81.x00,肺水肿,严重合并症/并发症,5
J15.902,社区获得性肺炎，非重症,J84.101,肺间质纤维化,合并症/并发症,43
